日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2020-12-18,'600099,林海股份,6.32,6.42,6.25,6.25,6.3,0.02,0.3175,0.9615,2106800,13367034.0,1384838400.0,1384838400.0,None
2020-12-17,'600099,林海股份,6.3,6.34,6.08,6.21,6.21,0.09,1.4493,1.0512,2303466,14312369.0,1380456000.0,1380456000.0,None
2020-12-16,'600099,林海股份,6.21,6.39,6.18,6.39,6.38,-0.17,-2.6646,0.8802,1928603,12060851.0,1360735200.0,1360735200.0,None
2020-12-15,'600099,林海股份,6.38,6.41,6.34,6.36,6.38,0.0,0.0,0.635,1391416,8870564.0,1397985600.0,1397985600.0,None
2020-12-14,'600099,林海股份,6.38,6.42,6.28,6.34,6.37,0.01,0.157,0.7426,1627254,10347637.0,1397985600.0,1397985600.0,None
2020-12-11,'600099,林海股份,6.37,6.53,6.32,6.5,6.52,-0.15,-2.3006,1.0848,2377000,15160134.0,1395794400.0,1395794400.0,None
2020-12-10,'600099,林海股份,6.52,6.55,6.36,6.47,6.45,0.07,1.0853,1.3618,2984001,19267060.0,1428662400.0,1428662400.0,None
2020-12-09,'600099,林海股份,6.45,6.67,6.45,6.65,6.65,-0.2,-3.0075,1.4767,3235700,21259967.0,1413324000.0,1413324000.0,None
2020-12-08,'600099,林海股份,6.65,6.7,6.63,6.65,6.66,-0.01,-0.1502,1.2009,2631500,17537247.0,1457148000.0,1457148000.0,None
2020-12-07,'600099,林海股份,6.66,6.82,6.64,6.82,6.82,-0.16,-2.346,2.3894,5235613,35152325.0,1459339200.0,1459339200.0,None
2020-12-04,'600099,林海股份,6.82,6.9,6.79,6.8,6.85,-0.03,-0.438,2.2601,4952320,33852477.0,1494398400.0,1494398400.0,None
2020-12-03,'600099,林海股份,6.85,6.91,6.72,6.79,6.87,-0.02,-0.2911,4.9796,10911297,74199635.0,1500972000.0,1500972000.0,None
2020-12-02,'600099,林海股份,6.87,7.22,6.75,7.2,7.36,-0.49,-6.6576,12.1382,26597223,183975514.0,1505354400.0,1505354400.0,None
2020-12-01,'600099,林海股份,7.36,7.36,7.36,7.36,8.18,-0.82,-10.0244,2.0486,4488800,33037568.0,1612723200.0,1612723200.0,None
2020-11-30,'600099,林海股份,8.18,8.43,7.77,7.93,7.81,0.37,4.7375,8.7232,19114305,156661673.0,1792401600.0,1792401600.0,None
2020-11-27,'600099,林海股份,7.81,8.06,7.3,7.32,7.33,0.48,6.5484,6.5593,14372790,111904072.0,1711327200.0,1711327200.0,None
2020-11-26,'600099,林海股份,7.33,7.39,7.2,7.21,7.22,0.11,1.5235,1.2977,2843600,20811103.0,1606149600.0,1606149600.0,None
2020-11-25,'600099,林海股份,7.22,7.44,7.21,7.22,7.29,-0.07,-0.9602,1.3297,2913606,21276940.0,1582046400.0,1582046400.0,None
2020-11-24,'600099,林海股份,7.29,7.31,7.15,7.24,7.24,0.05,0.6906,1.1014,2413401,17418464.0,1597384800.0,1597384800.0,None
2020-11-23,'600099,林海股份,7.24,7.31,7.13,7.28,7.28,-0.04,-0.5495,1.1419,2502043,18038090.0,1586428800.0,1586428800.0,None
2020-11-20,'600099,林海股份,7.28,7.42,7.2,7.2,7.23,0.05,0.6916,1.4644,3208760,23488637.0,1595193600.0,1595193600.0,None
2020-11-19,'600099,林海股份,7.23,7.32,7.13,7.19,7.16,0.07,0.9777,1.3739,3010542,21787527.0,1584237600.0,1584237600.0,None
2020-11-18,'600099,林海股份,7.16,7.28,6.95,6.96,6.97,0.19,2.726,1.6779,3676701,26313752.0,1568899200.0,1568899200.0,None
2020-11-17,'600099,林海股份,6.97,7.09,6.91,7.09,7.07,-0.1,-1.4144,0.9151,2005200,13999821.0,1527266400.0,1527266400.0,None
2020-11-16,'600099,林海股份,7.07,7.1,6.95,7.05,6.98,0.09,1.2894,0.7468,1636301,11507671.0,1549178400.0,1549178400.0,None
2020-11-13,'600099,林海股份,6.98,7.05,6.82,6.92,6.91,0.07,1.013,0.931,2040101,14143414.0,1529457600.0,1529457600.0,None
2020-11-12,'600099,林海股份,6.91,6.97,6.86,6.89,6.85,0.06,0.8759,0.6665,1460400,10089690.0,1514119200.0,1514119200.0,None
2020-11-11,'600099,林海股份,6.85,7.03,6.76,6.99,6.99,-0.14,-2.0029,1.028,2252625,15495738.0,1500972000.0,1500972000.0,None
2020-11-10,'600099,林海股份,6.99,7.1,6.94,7.04,7.03,-0.04,-0.569,0.7776,1703800,11961196.0,1531648800.0,1531648800.0,None
2020-11-09,'600099,林海股份,7.03,7.13,6.9,6.93,6.89,0.14,2.0319,1.3339,2922913,20627976.0,1540413600.0,1540413600.0,None
2020-11-06,'600099,林海股份,6.89,7.02,6.82,6.97,6.96,-0.07,-1.0057,0.7937,1739110,11995239.0,1509736800.0,1509736800.0,None
2020-11-05,'600099,林海股份,6.96,6.98,6.78,6.83,6.75,0.21,3.1111,1.0288,2254416,15543334.0,1525075200.0,1525075200.0,None
2020-11-04,'600099,林海股份,6.75,6.87,6.71,6.75,6.74,0.01,0.1484,0.7899,1730864,11742789.0,1479060000.0,1479060000.0,None
2020-11-03,'600099,林海股份,6.74,6.8,6.63,6.67,6.7,0.04,0.597,0.6471,1417822,9534127.0,1476868800.0,1476868800.0,None
2020-11-02,'600099,林海股份,6.7,6.95,6.66,6.82,6.84,-0.14,-2.0468,0.918,2011558,13585144.0,1468104000.0,1468104000.0,None
2020-10-30,'600099,林海股份,6.84,7.03,6.77,6.9,6.88,-0.04,-0.5814,0.5974,1309067,9011937.0,1498780800.0,1498780800.0,None
2020-10-29,'600099,林海股份,6.88,6.93,6.73,6.82,6.82,0.06,0.8798,0.5506,1206568,8267256.0,1507545600.0,1507545600.0,None
2020-10-28,'600099,林海股份,6.82,6.94,6.72,6.94,6.93,-0.11,-1.5873,0.5711,1251457,8528465.0,1494398400.0,1494398400.0,None
2020-10-27,'600099,林海股份,6.93,7.02,6.91,6.97,7.01,-0.08,-1.1412,0.397,869900,6054688.0,1518501600.0,1518501600.0,None
2020-10-26,'600099,林海股份,7.01,7.07,6.9,7.07,7.01,0.0,0.0,0.6023,1319710,9213969.0,1536031200.0,1536031200.0,None
2020-10-23,'600099,林海股份,7.01,7.18,7.01,7.18,7.1,-0.09,-1.2676,0.5422,1188096,8429702.0,1536031200.0,1536031200.0,None
2020-10-22,'600099,林海股份,7.1,7.2,7.04,7.1,7.1,0.0,0.0,0.7832,1716100,12195251.0,1555752000.0,1555752000.0,None
2020-10-21,'600099,林海股份,7.1,7.16,7.01,7.13,7.12,-0.02,-0.2809,1.3512,2960700,20930458.0,1555752000.0,1555752000.0,None
2020-10-20,'600099,林海股份,7.12,7.14,6.97,7.0,7.01,0.11,1.5692,0.9102,1994400,14095070.0,1560134400.0,1560134400.0,None
2020-10-19,'600099,林海股份,7.01,7.1,6.93,7.08,6.98,0.03,0.4298,1.0506,2302048,16135345.0,1536031200.0,1536031200.0,None
2020-10-16,'600099,林海股份,6.98,7.02,6.88,6.95,6.95,0.03,0.4317,0.6836,1497960,10420559.0,1529457600.0,1529457600.0,None
2020-10-15,'600099,林海股份,6.95,7.01,6.94,6.97,6.94,0.01,0.1441,0.4979,1090900,7613514.0,1522884000.0,1522884000.0,None
2020-10-14,'600099,林海股份,6.94,7.06,6.92,7.0,7.04,-0.1,-1.4205,0.733,1606160,11183525.0,1520692800.0,1520692800.0,None
2020-10-13,'600099,林海股份,7.04,7.04,6.93,7.0,6.99,0.05,0.7153,0.8424,1845976,12913018.0,1542604800.0,1542604800.0,None
2020-10-12,'600099,林海股份,6.99,7.01,6.77,6.85,6.83,0.16,2.3426,0.9244,2025560,14078765.0,1531648800.0,1531648800.0,None
2020-10-09,'600099,林海股份,6.83,7.09,6.8,6.87,6.76,0.07,1.0355,1.4206,3112879,21482177.0,1496589600.0,1496589600.0,None
2020-09-30,'600099,林海股份,6.76,6.88,6.71,6.81,6.81,-0.05,-0.7342,1.3173,2886462,19585481.0,1481251200.0,1481251200.0,None
2020-09-29,'600099,林海股份,6.81,6.95,6.62,6.7,6.67,0.14,2.099,1.4751,3232301,22084494.0,1492207200.0,1492207200.0,None
2020-09-28,'600099,林海股份,6.67,6.82,6.63,6.77,6.76,-0.09,-1.3314,0.7869,1724251,11554655.0,1461530400.0,1461530400.0,None
2020-09-25,'600099,林海股份,6.76,6.8,6.59,6.73,6.74,0.02,0.2967,0.7996,1752061,11725881.0,1481251200.0,1481251200.0,None
2020-09-24,'600099,林海股份,6.74,6.99,6.69,6.99,6.99,-0.25,-3.5765,0.9144,2003600,13620291.0,1476868800.0,1476868800.0,None
2020-09-23,'600099,林海股份,6.99,7.0,6.87,6.9,6.87,0.12,1.7467,0.6632,1453300,10090413.0,1531648800.0,1531648800.0,None
2020-09-22,'600099,林海股份,6.87,7.08,6.83,6.94,7.03,-0.16,-2.276,0.9018,1975921,13672142.0,1505354400.0,1505354400.0,None
2020-09-21,'600099,林海股份,7.03,7.17,6.99,7.13,7.15,-0.12,-1.6783,0.7618,1669201,11790095.0,1540413600.0,1540413600.0,None
2020-09-18,'600099,林海股份,7.15,7.15,6.99,7.01,7.09,0.06,0.8463,1.1063,2424162,17156573.0,1566708000.0,1566708000.0,None
2020-09-17,'600099,林海股份,7.09,7.15,6.92,6.95,6.95,0.14,2.0144,0.9981,2187101,15402376.0,1553560800.0,1553560800.0,None
2020-09-16,'600099,林海股份,6.95,7.1,6.88,6.98,7.03,-0.08,-1.138,0.8497,1861877,12952843.0,1522884000.0,1522884000.0,None
2020-09-15,'600099,林海股份,7.03,7.24,6.96,7.24,7.2,-0.17,-2.3611,1.0681,2340473,16575269.0,1540413600.0,1540413600.0,None
2020-09-14,'600099,林海股份,7.2,7.3,7.04,7.2,7.13,0.07,0.9818,0.9437,2067900,14876747.0,1577664000.0,1577664000.0,None
2020-09-11,'600099,林海股份,7.13,7.19,6.94,7.11,7.1,0.03,0.4225,0.8903,1950800,13848727.0,1562325600.0,1562325600.0,None
2020-09-10,'600099,林海股份,7.1,7.5,7.0,7.5,7.42,-0.32,-4.3127,1.9435,4258700,30600101.0,1555752000.0,1555752000.0,None
2020-09-09,'600099,林海股份,7.42,7.82,7.4,7.63,7.65,-0.23,-3.0065,1.912,4189513,31998630.0,1625870400.0,1625870400.0,None
2020-09-08,'600099,林海股份,7.65,7.68,7.45,7.52,7.48,0.17,2.2727,1.2131,2658193,20156845.0,1676268000.0,1676268000.0,None
2020-09-07,'600099,林海股份,7.48,7.72,7.45,7.64,7.52,-0.04,-0.5319,1.4834,3250400,24741214.0,1639017600.0,1639017600.0,None
2020-09-04,'600099,林海股份,7.52,7.58,7.3,7.47,7.51,0.01,0.1332,0.9866,2161801,16112336.0,1647782400.0,1647782400.0,None
2020-09-03,'600099,林海股份,7.51,7.7,7.46,7.7,7.72,-0.21,-2.7202,1.1881,2603375,19708721.0,1645591200.0,1645591200.0,None
2020-09-02,'600099,林海股份,7.72,7.8,7.61,7.7,7.68,0.04,0.5208,0.8036,1760800,13605959.0,1691606400.0,1691606400.0,None
2020-09-01,'600099,林海股份,7.68,7.7,7.49,7.57,7.54,0.14,1.8568,0.8621,1889056,14376385.0,1682841600.0,1682841600.0,None
